iter	Logloss
217	0.5749210415
218	0.5748384194
219	0.5747976157
220	0.574712111
221	0.5746603751
222	0.5745981791
223	0.5745531517
224	0.5744606808
225	0.5744107011
226	0.5743431312
227	0.5742694714
228	0.5741961425
229	0.574131091
230	0.5740627815
231	0.5739385198
232	0.5738526793
233	0.5737485627
234	0.5736703613
235	0.57359293
236	0.5735234611
237	0.5734509245
238	0.5733675645
239	0.573287911
240	0.5731984422
241	0.5731101079
242	0.5730584619
243	0.5729910289
244	0.5729026121
245	0.5728060137
246	0.5727029561
247	0.5725752779
248	0.57251715
249	0.5724413927
250	0.5723705558
251	0.5722971571
252	0.5722382254
253	0.5721282676
254	0.5720504401
255	0.5719493712
256	0.5718849757
257	0.5718327842
258	0.5717759854
259	0.5716865385
260	0.5715897562
261	0.5715177456
262	0.5714479456
263	0.5713121266
264	0.5712668044
265	0.5711136837
266	0.5709987282
267	0.5709137461
268	0.5708361694
269	0.5707222265
270	0.570626312
271	0.5705290954
272	0.5704436431
273	0.5703504868
274	0.5702302611
275	0.5701140699
276	0.5700057886
277	0.569927307
278	0.5698116786
279	0.5697115241
280	0.5696136813
281	0.5695261704
282	0.5694432221
283	0.5693547802
284	0.5692644411
285	0.5691704599
286	0.5690473721
287	0.5689718678
288	0.5689169687
289	0.5688199073
290	0.5687619658
291	0.5686703739
292	0.5685820508
293	0.568484795
294	0.5683914152
295	0.5682810479
296	0.5681642691
297	0.568095275
298	0.5680202743
299	0.5679344535
300	0.5678497649
301	0.567709374
302	0.5676230909
303	0.567547937
304	0.5674236612
305	0.5673455479
306	0.5672584171
307	0.5671919691
308	0.567053345
309	0.5669556522
310	0.5668805705
311	0.5667605482
312	0.566679737
313	0.5665546425
314	0.5664355478
315	0.5663202393
316	0.5662232679
317	0.5661495405
318	0.5660705753
319	0.5659902218
320	0.5659078278
321	0.5658408035
322	0.5657434814
323	0.5656742248
324	0.5655644554
325	0.5654919382
326	0.5654297261
327	0.5653389478
328	0.5652698788
329	0.5651961501
330	0.5651071404
331	0.5650101924
332	0.564887295
333	0.5648244292
334	0.564752863
335	0.5646672814
336	0.5645737311
337	0.5645013949
338	0.5644370221
339	0.5643500815
340	0.5642564814
341	0.5641672662
342	0.5640540025
343	0.5639589068
344	0.5638691625
345	0.5637946589
346	0.5637335999
347	0.5636571937
348	0.5635813175
349	0.5635152935
350	0.5634422167
351	0.5633556426
352	0.5632700275
353	0.5631769309
354	0.5630890377
355	0.5630212963
356	0.5629373843
357	0.5628669722
358	0.562790109
359	0.5627168228
360	0.5626188552
361	0.5625494257
362	0.5624650268
363	0.5623828278
364	0.5623218736
365	0.5622555056
366	0.5621680006
367	0.5620799442
368	0.561988332
369	0.5619075191
370	0.5618329016
371	0.5617504795
372	0.5616599615
373	0.5615815331
374	0.5614798394
375	0.5614094772
376	0.5613305558
377	0.5612447731
378	0.5611768323
379	0.561064973
380	0.5610007827
381	0.5609185342
382	0.5608385264
383	0.5607900454
384	0.5607352833
385	0.5606445568
386	0.5605685889
387	0.5604896667
388	0.560406255
389	0.5603310908
390	0.5602557834
391	0.5601764375
392	0.560090149
393	0.5600197407
394	0.5599251105
395	0.5598584591
396	0.5598039697
397	0.5597064902
398	0.5596293981
399	0.5595552756
400	0.5594936472
401	0.5594082314
402	0.5593253367
403	0.5592554511
404	0.5591735163
405	0.5590868587
406	0.5590313168
407	0.5589408997
408	0.5588615827
409	0.5587781865
410	0.5587207621
411	0.5586571212
412	0.5585668863
413	0.5584899569
414	0.5583973582
415	0.5583317
416	0.5582358162
417	0.558175938
418	0.5581099588
419	0.5580384025
420	0.5579684663
421	0.5578736209
422	0.5577946717
423	0.5577287797
424	0.5576692496
425	0.5575957178
426	0.5575294383
427	0.5574806492
428	0.557408018
429	0.5573143021
430	0.5572364505
431	0.5571457891
432	0.5570520797
433	0.5569730613
434	0.5569043296
435	0.5568385558
436	0.5567518075
437	0.556684691
438	0.5566000374
439	0.5565259484
440	0.5564435485
441	0.5563666594
442	0.5562709035
443	0.5561960784
444	0.5561289484
445	0.5560569591
446	0.5559828647
447	0.555904209
448	0.5558545177
449	0.5557778112
450	0.5556920247
451	0.5556110355
452	0.5555696139
453	0.5554875762
454	0.5554298371
455	0.555366068
456	0.555323264
457	0.5552583784
458	0.5551822596
459	0.5551179981
460	0.5550365364
461	0.5549517651
462	0.5548855185
463	0.5548218824
464	0.5547545959
465	0.5546812297
466	0.5546000457
467	0.55453321
468	0.5544488891
469	0.5543753753
470	0.5542975483
471	0.5542164501
472	0.554141399
473	0.5540750086
474	0.5540084235
475	0.5539319348
476	0.553861537
477	0.5537790531
478	0.5537071195
479	0.5536485941
480	0.5535923939
481	0.5535380653
482	0.5534858427
483	0.5534165085
484	0.5533466841
485	0.5532588009
486	0.5532081711
487	0.5531521394
488	0.5530493423
489	0.5529769338
490	0.5529241392
491	0.5528511097
492	0.5527928513
493	0.5527298907
494	0.5526578674
495	0.552577313
496	0.5524561118
497	0.5523782354
498	0.5523207321
499	0.5522317607
500	0.5521676154
501	0.5520948023
502	0.5520291515
503	0.5519513139
504	0.5518799341
505	0.5518196186
506	0.5517321907
507	0.551668085
508	0.551593007
509	0.5514996169
510	0.5514311225
511	0.5513651466
512	0.5513046328
513	0.5512423942
514	0.5511884523
515	0.5511207477
516	0.5510451432
517	0.5509843073
518	0.5509243993
519	0.5508655727
520	0.5507890311
521	0.5507234951
522	0.5506540809
523	0.5505770686
524	0.5504994455
525	0.550403096
526	0.5503448231
527	0.5502786296
528	0.5502272283
529	0.5501561412
530	0.550094809
531	0.5500242477
532	0.5499554174
533	0.5499061947
534	0.5498303258
535	0.5497611688
536	0.5496801632
537	0.5496180163
538	0.5495524222
539	0.5494975932
540	0.5494296795
541	0.5493844977
542	0.5493097596
543	0.5492459882
544	0.5491699434
545	0.5491129129
546	0.5490339128
547	0.5489743263
548	0.5489061154
549	0.5488288596
550	0.5487540117
551	0.5486745362
552	0.5486356275
553	0.5485862434
554	0.5485178109
555	0.5484647176
556	0.5483920887
557	0.5483320324
558	0.5482773722
559	0.5482186898
560	0.5481564885
561	0.548087404
562	0.5480120879
563	0.5479251997
564	0.5478571123
565	0.5477968628
566	0.5477290364
567	0.5476663699
568	0.5476034349
569	0.5475338423
570	0.5474562099
571	0.5473798833
572	0.5472983482
573	0.5472213903
574	0.5471761931
575	0.5471131841
576	0.5470578757
577	0.5470031342
578	0.5469334456
579	0.5468552388
580	0.5467859808
581	0.5467190515
582	0.5466515048
583	0.5465697129
584	0.5464950811
585	0.5464260474
586	0.5463639294
587	0.5462579416
588	0.5462054688
589	0.5461395353
590	0.5460758269
591	0.5460101246
592	0.5459580289
593	0.545882153
594	0.5457941092
595	0.5457338821
596	0.5456806848
597	0.5456078645
598	0.5455229502
599	0.5454441299
600	0.5453808164
601	0.5453112181
602	0.5452225039
603	0.5451616635
604	0.545088576
605	0.5450391837
606	0.5449701732
607	0.5449126474
608	0.5448638833
609	0.5447953842
610	0.5447252591
611	0.5446505579
612	0.5445924991
613	0.5445194433
614	0.5444555282
615	0.5443849997
616	0.5443307143
617	0.5442514122
618	0.5441887413
619	0.5441360916
620	0.544068722
621	0.5440171602
622	0.5439442322
623	0.5438903241
624	0.5438090898
625	0.5437431319
626	0.5436787547
627	0.543619798
628	0.5435597318
629	0.5434804968
630	0.5434191539
631	0.5433721426
632	0.5433101414
633	0.5432591456
634	0.5432026916
635	0.5431332796
636	0.5430823232
637	0.542994721
638	0.5429368119
639	0.5428479491
640	0.5428022772
641	0.5427429166
642	0.5426725655
643	0.5426139275
644	0.5425638293
645	0.5424792442
646	0.5424132699
647	0.5423460986
648	0.5423031276
649	0.5422346818
650	0.5421889998
651	0.5421185993
652	0.5420671257
653	0.5419869269
654	0.5419201277
655	0.5418637326
656	0.5418077966
657	0.5417307999
658	0.5416659399
659	0.5416135771
660	0.5415452197
661	0.5414653152
662	0.5413990205
663	0.5413234131
664	0.5412638039
665	0.5411930713
666	0.541147641
667	0.5410956952
668	0.5410068682
669	0.5409293909
670	0.5408441123
671	0.5408023068
672	0.5407480624
673	0.5406978502
674	0.5406487051
675	0.5405841469
676	0.5405091516
677	0.5404402376
678	0.5403785636
679	0.5403205598
680	0.5402533615
681	0.5402015044
682	0.5401270788
683	0.5400520744
684	0.5399849366
685	0.5399115415
686	0.539849267
687	0.5397896582
688	0.5397250041
689	0.5396596349
690	0.5396006277
691	0.5395207327
692	0.5394724566
693	0.5393956544
694	0.5393269438
695	0.5392619899
696	0.5391997355
697	0.5391304391
698	0.5390617304
699	0.5390008017
